LTC4S,LTC4Sr
HPGDS,PGDI
PTGDS,PGDI
HPGDS,PGDIr
PTGDS,PGDIr
PTGES,PGESr
PTGES2,PGESr
PTGIS,PGISr
PTGS1,PGS
PTGS2,PGS
PTGS1,PGSr
PTGS2,PGSr
ALOX12B,ALOX12R
GGT5,GGT5r
CYP2F1,P4504B1r
CYP4F12,P4504F121r
CYP4F2,P4504F122r
CYP4F12,P4504F122r
CYP4F3,P4504F122r
CYP4F8,P4504F81r
TBXAS1,TXASr
ACADS,FAOXC161802m
ACADM,FAOXC161802m
ACSL3,FACOAL140
ACSL4,FACOAL150
ACSL3,FACOAL150
ACSL1,FACOAL150
ACSL3,FACOAL160
ACSL1,FACOAL160
ACSL5,FACOAL160
ACSL1,FACOAL161
ACSL4,FACOAL170
ACSL3,FACOAL170
ACSL1,FACOAL170
ACSL3,FACOAL180
ACSL1,FACOAL180
ACSL5,FACOAL180
ACSL1,FACOAL1812
ACSL1,FACOAL1813
ACSL3,FACOAL181
ACSL1,FACOAL181
ACSL1,FACOAL1821
ACSL1,FACOAL1822
ACSL1,FACOAL1831
ACSL1,FACOAL1832
ACSL1,FACOAL184
SLC27A2,FACOAL191
ACSL1,FACOAL200
ACSL1,FACOAL203
ACSL1,FACOAL204_copy1
ACSL1,FACOAL2042
ACSL4,FACOAL204_copy2
ACSL3,FACOAL204_copy2
ACSL1,FACOAL204_copy2
ACSL1,FACOAL205
SLC27A2,FACOAL206
ACSL1,FACOAL224
ACSL1,FACOAL2251
ACSL1,FACOAL2252
ACSL1,FACOAL226_copy1
ACSL1,FACOAL240
ACSL1,FACOAL241
ACSL1,FACOAL244_1
ACSL1,FACOAL245_1
ACSL1,FACOAL245_2
ACSL1,FACOAL246_1
ACSL1,FACOAL260
ACSM1,FACOAL40im
ACSL3,FACOAL80
SCD,DESAT16_2
SCD,DESAT18_3
SCD,DESAT18_4
SCD,DESAT18_5
FASN,FAS100COA
FASN,FAS120COA
FASN,FAS140COA
FASN,FAS160COA
FASN,FAS180COA
FASN,FAS80COA_L
FASN,KAS8
FADS2,DESAT18_10
FADS2,DESAT18_6
FADS2,DESAT18_7
FADS2,DESAT18_8
FADS2,DESAT18_9
FADS1,DESAT20_1
FADS1,DESAT20_2
FADS2,DESAT24_1
ELOVL4,FAEL183
ELOVL4,FAEL184
ELOVL4,FAEL204
ELOVL4,FAEL205
ACAA1,ACACT4p
ACAA1,ACACT5p
ACAA1,ACACT6p
ACAA1,ACACT7p
ACAA1,ACACT8p
ACAA1,ACACT9p
ACACB,ACCOAC
ACACA,ACCOAC
ACACB,ACCOACrm
FASN,ACOATA
ALDH3A2,ALDD21
CRAT,CSNAT2x
CROT,CSNAT2x
