genelistrounded,grRatio,CL,Gene,Cell Line
113235,1,COLO-205,SLC46A1,COLO-205
10768,1,COLO-205,AHCYL1,COLO-205
191,1,COLO-205,AHCY,COLO-205
140679,1,COLO-205,SLC32A1,COLO-205
2653,0.880185658,COLO-205,GCSH,COLO-205
2731,0.880185658,COLO-205,GLDC,COLO-205
275,0.880185658,COLO-205,AMT,COLO-205
55902,1,COLO-205,ACSS2,COLO-205
30833,1,COLO-205,NT5C,COLO-205
64850,1,COLO-205,ETNPPL,COLO-205
64902,1,COLO-205,AGXT2,COLO-205
266722,1,COLO-205,HS6ST3,COLO-205
90161,1,COLO-205,HS6ST2,COLO-205
9394,1,COLO-205,HS6ST1,COLO-205
1638,1,COLO-205,DCT,COLO-205
2821,1,COLO-205,GPI,COLO-205
112611,1,COLO-205,RWDD2A,COLO-205
97,1,COLO-205,ACYP1,COLO-205
98,1,COLO-205,ACYP2,COLO-205
27232,1,COLO-205,GNMT,COLO-205
1312,1,COLO-205,COMT,COLO-205
10396,1,COLO-205,ATP8A1,COLO-205
57194,1,COLO-205,ATP10A,COLO-205
5471,0,COLO-205,PPAT,COLO-205
1854,1,COLO-205,DUT,COLO-205
3340,1,COLO-205,NDST1,COLO-205
64579,1,COLO-205,NDST4,COLO-205
8509,1,COLO-205,NDST2,COLO-205
9348,1,COLO-205,NDST3,COLO-205
3795,1,COLO-205,KHK,COLO-205
124,1,COLO-205,ADH1A,COLO-205
125,1,COLO-205,ADH1B,COLO-205
126,1,COLO-205,ADH1C,COLO-205
127,1,COLO-205,ADH4,COLO-205
128,0.972862309,COLO-205,ADH5,COLO-205
130,1,COLO-205,ADH6,COLO-205
131,1,COLO-205,ADH7,COLO-205
137872,1,COLO-205,ADHFE1,COLO-205
284273,1,COLO-205,ZADH2,COLO-205
28,1,COLO-205,ABO,COLO-205
11182,1,COLO-205,SLC2A6,COLO-205
144195,1,COLO-205,SLC2A14,COLO-205
154091,1,COLO-205,SLC2A12,COLO-205
155184,1,COLO-205,SLC2A7,COLO-205
29988,1,COLO-205,SLC2A8,COLO-205
56606,1,COLO-205,SLC2A9,COLO-205
6517,1,COLO-205,SLC2A4,COLO-205
66035,1,COLO-205,SLC2A11,COLO-205
81031,1,COLO-205,SLC2A10,COLO-205
5264,1,COLO-205,PHYH,COLO-205
27034,1,COLO-205,ACAD8,COLO-205
113189,1,COLO-205,CHST14,COLO-205
